No;DATE;PM10;MPM10;NO;MNO;NO2;MNO2;NOX;MNOX;GRAD;MGRAD;TempAir;MTEMP;HUMAIR;MHUM;FF;MFF;DD;MDD;RAIN;MRAIN;SCODE
1;01/01/2017;67.41;;10.83;  ;3.99;  ;10.02;  ;186.26;  ;31.02;  ;62.08;  ;1.3;  ;227.36;  ;0;  ;HIJPR
2;02/01/2017;14.59;  ;6.92;  ;2.75;  ;6.48;  ;207.93;  ;31.11;  ;62.03;  ;1.74;  ;235.24;  ;0;  ;HIJPR
3;03/01/2017;19.21;  ;8.88;  ;5.23;  ;9.18;  ;155.43;  ;30.66;  ;65.95;  ;1.12;  ;N;  ;0;  ;HIJPR
4;04/01/2017;27.14;  ;13;  ;7.16;  ;13.08;  ;77.17;  ;28.3;  ;77.92;  ;0.62;  ;216.91;  ;0.02;  ;HIJPR
5;05/01/2017;25.59;  ;13.78;  ;6.4;  ;13.4;  ;110.83;  ;28.21;  ;81.04;  ;0.35;  ;167.18;  ;0.4;  ;HIJPR
6;06/01/2017;24.17;  ;14.3;  ;6.87;  ;14.14;  ;152.33;  ;28.2;  ;78.86;  ;0.87;  ;233.86;  ;0.36;  ;HIJPR
7;07/01/2017;28.07;  ;10.58;  ;5.41;  ;10.53;  ;128.4;  ;29.61;  ;68.88;  ;1.33;  ;236.4;  ;0;  ;HIJPR
8;08/01/2017;32.28;  ;7.42;  ;4.8;  ;7.88;  ;132.94;  ;29.67;  ;71.01;  ;0.79;  ;249.33;  ;0.04;  ;HIJPR
9;09/01/2017;36.75;  ;17.45;  ;9.49;  ;17.64;  ;86.83;  ;28.58;  ;75.53;  ;0.64;  ;188.8;  ;0.17;  ;HIJPR
10;10/01/2017;27.79;  ;12.55;  ;8.76;  ;13.63;  ;146.93;  ;28.26;  ;81.1;  ;0.36;  ;172.05;  ;0.7;  ;HIJPR
11;11/01/2017;28.02;  ;14.84;  ;7.45;  ;14.7;  ;108.15;  ;27.5;  ;83.22;  ;1.04;  ;219.77;  ;0.46;  ;HIJPR
12;12/01/2017;25.53;  ;11.97;  ;4.16;  ;10.95;  ;169.07;  ;28.39;  ;76.57;  ;1.87;  ;236.06;  ;0.01;  ;HIJPR
13;13/01/2017;28.55;  ;11.25;  ;3.13;  ;9.92;  ;109.01;  ;28.57;  ;74.89;  ;1.97;  ;234.19;  ;0;  ;HIJPR
14;14/01/2017;25.16;  ;7.39;  ;2.66;  ;6.81;  ;93.53;  ;26.93;  ;77.17;  ;2.2;  ;234.7;  ;0.05;  ;HIJPR
15;15/01/2017;24.62;  ;6.58;  ;2.99;  ;6.37;  ;88.69;  ;27.93;  ;74.38;  ;1.9;  ;236.29;  ;0.06;  ;HIJPR
16;16/01/2017;---;4)A);---;4)A);---;4)A);---;4)A);8.75;  ;26.6;  ;82.11;  ;1.93;  ;232.4;  ;0;  ;HIJPR
17;17/01/2017;26.76;  ;14.7;  ;3.85;  ;13.11;  ;130.69;  ;27.51;  ;73.89;  ;1.71;  ;237.4;  ;0.06;  ;HIJPR
18;18/01/2017;22.05;  ;9.82;  ;2.91;  ;8.75;  ;153.14;  ;28.64;  ;70.51;  ;1.88;  ;234.5;  ;0;  ;HIJPR
19;19/01/2017;21.61;  ;9.44;  ;2.27;  ;8.15;  ;219.35;  ;28.93;  ;70.26;  ;2.22;  ;234.62;  ;0;  ;HIJPR
20;20/01/2017;18.97;  ;9.74;  ;3.01;  ;8.73;  ;226.14;  ;29.78;  ;64.69;  ;2.19;  ;235.67;  ;0;  ;HIJPR
21;21/01/2017;40.15;  ;12.24;  ;5.15;  ;11.64;  ;177.29;  ;29.98;  ;70.65;  ;0.84;  ;231.82;  ;0;  ;HIJPR
22;22/01/2017;58.68;  ;9.17;  ;5.26;  ;9.39;  ;122;  ;29.18;  ;74.54;  ;0.91;  ;252.8;  ;0;  ;HIJPR
23;23/01/2017;31.97;  ;10.03;  ;2.7;  ;8.8;  ;166.29;  ;29.54;  ;69.76;  ;1.89;  ;237.68;  ;0;  ;HIJPR
24;24/01/2017;36.16;  ;12.89;  ;3.25;  ;11.12;  ;109.76;  ;28.71;  ;75.8;  ;1.54;  ;239.43;  ;0;  ;HIJPR
25;25/01/2017;27.91;  ;10.46;  ;3.36;  ;9.37;  ;139.09;  ;29.65;  ;68.02;  ;1.56;  ;237.8;  ;0;  ;HIJPR
26;26/01/2017;35.26;  ;13.39;  ;3.78;  ;11.79;  ;104.06;  ;28.36;  ;77.27;  ;0.93;  ;242.41;  ;0.24;  ;HIJPR
27;27/01/2017;46.75;  ;17.61;  ;5.21;  ;15.68;  ;75.76;  ;28.58;  ;74.69;  ;1.28;  ;244.53;  ;0.14;  ;HIJPR
28;28/01/2017;39.38;  ;16.95;  ;4.44;  ;14.76;  ;59.88;  ;27.56;  ;82.08;  ;1.05;  ;243.75;  ;0.44;  ;HIJPR
29;29/01/2017;23.96;  ;9.77;  ;2.46;  ;8.49;  ;95.45;  ;26.99;  ;81.67;  ;1.71;  ;233.19;  ;0.11;  ;HIJPR
